RestaurantId;RestaurantName;ActiveStatus;Zipcode;OrderCreationDate;CountOfOrders;Amount
79002;Pizza Lucca;0;1000;19/01/2017;1;95,83
79002;Pizza Lucca;0;1000;22/02/2017;2;8,13
79002;Pizza Lucca;0;1000;02/03/2017;1;2,29
79002;Pizza Lucca;0;1000;09/03/2017;1;0,53
79002;Pizza Lucca;0;1000;19/03/2017;3;4,49
79002;Pizza Lucca;0;1000;04/04/2017;1;9,76
79002;Pizza Lucca;0;1000;19/05/2017;59;170,08
79002;Pizza Lucca;0;1000;23/05/2017;5;3,66
79002;Pizza Lucca;0;1000;26/06/2017;1;0,53
79002;Pizza Lucca;0;1000;04/07/2017;2;1,04
79002;Pizza Lucca;0;1000;08/07/2017;1;0,73
79002;Pizza Lucca;1;1000;03/08/2017;2;6,25
79002;Pizza Lucca;1;1000;04/08/2017;1;0,53
79002;Pizza Lucca;1;1000;18/08/2017;1;43.60
79002;Pizza Lucca;1;1000;21/08/2017;1;1,99
79002;Pizza Lucca;1;1000;31/08/2017;2;1,04
79002;Pizza Lucca;1;1000;06/09/2017;3;4,28
79002;Pizza Lucca;1;1000;12/09/2017;3;1,49
79002;Pizza Lucca;1;1000;29/09/2017;1;1,46
79002;Pizza Lucca;1;1000;16/10/2017;2;10,21
79002;Pizza Lucca;1;1000;24/10/2017;1;5,12
79002;Pizza Lucca;1;1000;25/10/2017;1;5,12
79002;Pizza Lucca;0;1000;02/11/2017;1;5,12
79002;Pizza Lucca;0;1000;06/11/2017;1;5,12
79002;Pizza Lucca;0;1000;07/11/2017;1;5,12
79002;Pizza Lucca;0;1000;09/11/2017;1;0,03
79002;Pizza Lucca;0;1000;10/11/2017;3;0,15
79002;Pizza Lucca;0;1000;10/11/2017;5;0,35
79002;Pizza Lucca;0;1000;13/11/2017;1;0,03
79002;Pizza Lucca;0;1000;14/11/2017;1;0,03
79002;Pizza Lucca;0;1000;15/11/2017;2;0,48
79002;Pizza Lucca;0;1000;27/11/2017;1;0,08
79002;Pizza Lucca;0;1000;29/11/2017;3;0,84
79002;Pizza Lucca;0;1000;30/11/2017;4;1,10
79002;Pizza Lucca;0;1000;01/12/2017;3;51.80
79002;Pizza Lucca;0;1000;11/12/2017;3;25.73
79002;Pizza Lucca;0;1000;12/12/2017;3;0,10
79002;Pizza Lucca;0;1000;13/12/2017;2;0,55
79002;Pizza Lucca;0;1000;14/12/2017;4;2,15
22500;Paulsen's Takeaway;1;D12 HX01;02/01/2017;20;15,96
22500;Paulsen's Takeaway;1;D12 HX01;04/01/2017;1;1,00
22500;Paulsen's Takeaway;1;D12 HX01;05/01/2017;11;250.94
22500;Paulsen's Takeaway;1;D12 HX01;10/01/2017;1;1,25
22500;Paulsen's Takeaway;1;D12 HX01;11/01/2017;1;0,03
22500;Paulsen's Takeaway;1;D12 HX01;12/01/2017;26;18,53
22500;Paulsen's Takeaway;1;D12 HX01;16/01/2017;20;13,83
22500;Paulsen's Takeaway;1;D12 HX01;19/01/2017;17;5,68
22500;Paulsen's Takeaway;1;D12 HX01;20/01/2017;16;3,06
22500;Paulsen's Takeaway;1;D12 HX01;23/01/2017;3;3,21
22500;Paulsen's Takeaway;1;D12 HX01;25/01/2017;3;24.99
22500;Paulsen's Takeaway;1;D12 HX01;26/01/2017;7;181.95
22500;Paulsen's Takeaway;1;D12 HX01;30/01/2017;15;8,33
